,YEAR,MONTH,DAY
1435,1914,12,5
1436,1914,12,6
1437,1914,12,7
1438,1914,12,8
1439,1914,12,9
1440,1914,12,10
1441,1914,12,11
1442,1914,12,12
1443,1914,12,13
1444,1914,12,14
1445,1914,12,15
1446,1914,12,16
1447,1914,12,17
1448,1914,12,18
1449,1914,12,19
1450,1914,12,20
1451,1914,12,21
1452,1914,12,22
1453,1914,12,23
1454,1914,12,24
1455,1914,12,25
1456,1914,12,26
1457,1914,12,27
1458,1914,12,28
1459,1914,12,29
1460,1914,12,30
1461,1914,12,31
1462,1915,1,1
1463,1915,1,2
1464,1915,1,3
1465,1915,1,4
1466,1915,1,5
1467,1915,1,6
1468,1915,1,7
1469,1915,1,8
1470,1915,1,9
1471,1915,1,10
1472,1915,1,11
1473,1915,1,12
1474,1915,1,13
1475,1915,1,14
1476,1915,1,15
1477,1915,1,16
1478,1915,1,17
1479,1915,1,18
1480,1915,1,19
1481,1915,1,20
1482,1915,1,21
1483,1915,1,22
1484,1915,1,23
1485,1915,1,24
1486,1915,1,25
1487,1915,1,26
1488,1915,1,27
1489,1915,1,28
